,HomeTeam,HomeScore,HomePrediction,AwayTeam,AwayScore,AwayPrediction,Date,Gameweek,Player,PredictionAdded,ResultAdded,Points,Season
0,Nott'm Forest,2.0,3.0,Sheffield Utd,1.0,1.0,18/08/2023,2.0,Matt,1,1,1,23/24
1,Nott'm Forest,3.0,2.0,Fulham,1.0,2.0,02/04/2024,31.0,Matt,1,1,0,23/24
2,Nott'm Forest,1.0,2.0,Brentford,1.0,1.0,01/10/2023,7.0,Matt,1,1,0,23/24
3,Nott'm Forest,0.0,1.0,Liverpool,1.0,3.0,02/03/2024,27.0,Matt,1,1,1,23/24
4,Nott'm Forest,2.0,0.0,Bournemouth,3.0,2.0,23/12/2023,18.0,Matt,1,1,1,23/24
5,Nott'm Forest,2.0,2.0,Wolves,2.0,0.0,13/04/2024,33.0,Matt,1,1,0,23/24
6,Nott'm Forest,2.0,1.0,Brighton,3.0,2.0,25/11/2023,13.0,Matt,1,1,1,23/24
7,Nott'm Forest,0.0,0.0,Spurs,2.0,2.0,15/12/2023,17.0,Matt,1,1,3,23/24
8,Nott'm Forest,2.0,1.0,Man Utd,1.0,2.0,30/12/2023,20.0,Matt,1,1,0,23/24
9,Nott'm Forest,0.0,1.0,Man City,2.0,2.0,28/04/2024,35.0,Matt,1,1,1,23/24
10,Nott'm Forest,2.0,0.0,Newcastle,3.0,2.0,10/02/2024,24.0,Matt,1,1,1,23/24
11,Nott'm Forest,2.0,1.0,Aston Villa,0.0,2.0,05/11/2023,11.0,Matt,1,1,0,23/24
12,Nott'm Forest,0.0,1.0,Everton,1.0,1.0,02/12/2023,14.0,Matt,1,1,0,23/24
13,Nott'm Forest,2.0,1.0,West Ham,0.0,1.0,17/02/2024,25.0,Matt,1,1,0,23/24
14,Nott'm Forest,2.0,2.0,Chelsea,3.0,3.0,11/05/2024,37.0,Matt,1,1,3,23/24
15,Nott'm Forest,1.0,2.0,Crystal Palace,1.0,1.0,30/03/2024,30.0,Matt,1,1,0,23/24
16,Nott'm Forest,1.0,1.0,Arsenal,2.0,3.0,30/01/2024,22.0,Matt,1,1,1,23/24
17,Nott'm Forest,1.0,0.0,Burnley,1.0,0.0,18/09/2023,5.0,Matt,1,1,1,23/24
18,Nott'm Forest,2.0,2.0,Luton,2.0,0.0,21/10/2023,9.0,Matt,1,1,0,23/24
19,Sheffield Utd,1.0,0.0,Nott'm Forest,3.0,2.0,04/05/2024,36.0,Matt,1,1,1,23/24
20,Sheffield Utd,3.0,0.0,Fulham,3.0,1.0,30/03/2024,30.0,Matt,1,1,0,23/24
21,Sheffield Utd,1.0,1.0,Brentford,0.0,1.0,09/12/2023,16.0,Matt,1,1,0,23/24
22,Sheffield Utd,0.0,1.0,Liverpool,2.0,3.0,06/12/2023,15.0,Matt,1,1,1,23/24
23,Sheffield Utd,1.0,0.0,Bournemouth,3.0,0.0,25/11/2023,13.0,Matt,1,1,0,23/24
24,Sheffield Utd,2.0,0.0,Wolves,1.0,1.0,04/11/2023,11.0,Matt,1,1,0,23/24
25,Sheffield Utd,0.0,2.0,Brighton,5.0,2.0,18/02/2024,25.0,Matt,1,1,0,23/24
26,Sheffield Utd,0.0,1.0,Spurs,3.0,2.0,19/05/2024,38.0,Matt,1,1,1,23/24
27,Sheffield Utd,1.0,0.0,Man Utd,2.0,1.0,21/10/2023,9.0,Matt,1,1,1,23/24
28,Sheffield Utd,1.0,0.0,Man City,2.0,3.0,27/08/2023,3.0,Matt,1,1,1,23/24
29,Sheffield Utd,0.0,0.0,Newcastle,8.0,1.0,24/09/2023,6.0,Matt,1,1,1,23/24
30,Sheffield Utd,0.0,0.0,Aston Villa,5.0,2.0,03/02/2024,23.0,Matt,1,1,1,23/24
31,Sheffield Utd,2.0,2.0,Everton,2.0,1.0,02/09/2023,4.0,Matt,1,1,0,23/24
32,Sheffield Utd,2.0,1.0,West Ham,2.0,2.0,21/01/2024,21.0,Matt,1,1,0,23/24
33,Sheffield Utd,2.0,1.0,Chelsea,2.0,3.0,07/04/2024,32.0,Matt,1,1,0,23/24
34,Sheffield Utd,0.0,1.0,Crystal Palace,1.0,3.0,12/08/2023,1.0,Matt,1,1,1,23/24
35,Sheffield Utd,0.0,1.0,Arsenal,6.0,5.0,04/03/2024,27.0,Matt,1,1,1,23/24
36,Sheffield Utd,1.0,1.0,Burnley,4.0,0.0,20/04/2024,34.0,Matt,1,1,0,23/24
37,Sheffield Utd,2.0,0.0,Luton,3.0,0.0,26/12/2023,19.0,Matt,1,1,0,23/24
38,Fulham,5.0,1.0,Nott'm Forest,0.0,0.0,06/12/2023,15.0,Matt,1,1,1,23/24
